Code,LocalCode,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,RebateAtchison,RebateAtchisonCode,PeerGroup,OptimiserCategory,Type,Hurdle,E-score,S-score,G-score,ESG-score,Controversy-score,Controversy-Items,Unnamed:30,Citicode,LastPrice,MarketCap,Exchange,MktVolume,ShortSell%,Date,BasicEPS,TotalRevenues,DividendperShare-Net,TotalAssets,TotalLiabilities,GrowthofNetIncome(%),GrowthofNetSales(%),GrowthofFreeCashFlow(%),ReturnonTotalEquity(%),PayoutRatio,TotalDebt/TotalAssets,NetProfitMargin(%),InterestCover(EBIT),Unnamed:51,Unnamed:52,YieldtoMaturity,IRDuration,CreditDuration,AvCreditRating,AAA_ModDur,AA_ModDur,A_ModDur,BBB_ModDur,BB_ModDur,B_ModDur,CCC_ModDur,NotRated_ModDur,CashEq_ModDur,Gov_ModDur,Corporates_ModDur,Securitised_ModDur,Other_ModDur,CashEq_ModDur.1,AAA_CredSprDur,AA_CredSprDur,A_CredSprDur,BBB_CredSprDur,BB_CredSprDur,B_CredSprDur,CCC_CredSprDur,NotRated_CredSprDur,CashEq_CredSprDur,Gov_CredSprDur,Corporates_CredSprDur,Securitised_CredSprDur,Other_CredSprDur,CashEq_CredSprDur.1,Unnamed:85,FE_Objective,FE_PerformanceFee,FE_PrimaryManager,FE_PrimaryManagerStartDate,FE_PrimaryManagerBiography,FE_Benchmark,FE_CrownRating,FE_FundSize,FE_HistoryStart,FE_PortfolioTurnoverRatio,FE_AverageMaturityDate,FE_LonsecRating,FE_MstarAnalystRating,FE_AnnualCharge,PE_Ratio,EarningsYield,PriceBook
CLN.SWX,nan,CLARIANT AG,Growth,International Shares,Global Shares,Global Shares,Materials - 15,SIX Swiss Exchange,CHF,Switzerland,,Materials - 1510,Chemicals - 151010,Specialty Chemicals - 15101050,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,11.28,11.28,3711309515.0,SWX,1760940.0,0.0,,,7625416812.0,0.0,9315308132.0,5517408052.0,113.0952,-15.7945,-36.4161,9.0773,0.770949,0.252291,4.0895,2.222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.970062340344668e-07
BANB.SWX,nan,BACHEM HOLDING AG,Growth,International Shares,Global Shares,Global Shares,Health Care - 35,SIX Swiss Exchange,CHF,Switzerland,,"Pharmaceuticals, Biotech & Life Sciences - 3520",Life Sciences Tools & Services - 352030,Life Sciences Tools & Services - 35203010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,70.15,70.15,5259229680.0,SWX,78082.0,0.0,,2.218416,901165554.7,1.259275,2522050284.0,421034315.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3162166158195758,2.0,3.3388608672368863e-06
LUMI.TAE,nan,BANK LEUMI LE ISRAEL,Growth,International Shares,Global Shares,Global Shares,Financials - 40,Tel Aviv Stock Exchange,ILS,Israel,,Banks - 4010,Banks - 401010,Diversified Banks - 40101010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,2992,2992.0,0.0,TAE,6138770.0,0.0,,1.985039,7895163304.0,0.550759,285000000000.0,263000000000.0,9.8351,17.199,-46.2121,14.9683,0.277002,0.104065,38.735,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.072751719235743,0.06634488636363636,1.36e-05
NICE.TAE,nan,NICE LTD,Growth,International Shares,Global Shares,Global Shares,Information Technology - 45,Tel Aviv Stock Exchange,ILS,Israel,,Software & Services - 4510,Software - 451030,Application Software - 45103010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,87670,87670.0,0.0,TAE,115122.0,0.0,,7.80449,3487804236.0,0.0,7507569078.0,2586517578.0,27.2071,8.9953,24.778,10.5555,0.0,0.152993,14.2292,97.337811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.33277254503497,0.008902121592334892,0.0017815298214212958
POLI.TAE,nan,BANK HAPOALIM BM,Growth,International Shares,Global Shares,Global Shares,Financials - 40,Tel Aviv Stock Exchange,ILS,Israel,,Banks - 4010,Banks - 401010,Diversified Banks - 40101010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,3418,3418.0,0.0,TAE,5992711.0,0.0,,2.233112,8027209829.0,0.738654,275000000000.0,254000000000.0,28.5689,23.6872,-34.1483,15.4194,0.35828,0.096806,37.1969,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.30599450453,0.0653338794616735,1.6276190476190476e-05
DSCT.TAE,nan,ISRAEL DISCOUNT BANK LTD,Growth,International Shares,Global Shares,Global Shares,Financials - 40,Tel Aviv Stock Exchange,ILS,Israel,,Banks - 4010,Banks - 401010,Diversified Banks - 40101010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,1862,1862.0,0.0,TAE,6056583.0,0.0,,1.383379,5930717309.0,0.343976,162000000000.0,151000000000.0,36.5316,20.1628,-123.2758,16.1931,0.262108,0.096885,28.8552,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.459796628400461,0.0742953276047261,1.6927272727272727e-05
MZTF.TAE,nan,MIZRAHI TEFAHOT BANK LTD,Growth,International Shares,Global Shares,Global Shares,Financials - 40,Tel Aviv Stock Exchange,ILS,Israel,,Banks - 4010,Banks - 401010,Diversified Banks - 40101010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,14130,14130.0,0.0,TAE,770630.0,0.0,,7.809634,5708066553.0,2.194439,178000000000.0,167000000000.0,21.8011,-5.0898,-23.7,19.8538,0.318787,0.097538,35.2338,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.09303739458213,0.0552698796886058,0.00012845454545454545
ESLT.TAE,nan,ELBIT SYSTEMS LTD,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,Tel Aviv Stock Exchange,ILS,Israel,,Capital Goods - 2010,Aerospace & Defense - 201010,Aerospace & Defense - 20101010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,79400,79400.0,0.0,TAE,84280.0,0.0,,9.449169,9074082386.0,3.0994,14900754475.0,10491658063.0,36.3425,6.4732,7.4453,9.9453,0.329865,0.169235,4.6182,3.276848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.02855319869927,0.011900716624685137,0.0018008224946930462
ICL.TAE,nan,ICL GROUP LTD,Growth,International Shares,Global Shares,Global Shares,Materials - 15,Tel Aviv Stock Exchange,ILS,Israel,,Materials - 1510,Chemicals - 151010,Fertilizers & Agricultural Chemicals - 15101030,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,1889,1889.0,0.0,TAE,4574758.0,0.0,,0.736138,11055312000.0,0.401826,17056809000.0,8200530000.0,-70.0324,-24.7528,-47.0511,11.6936,0.732612,0.2311,8.5854,4.405405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.66094944154493,0.03896971942826892,2.1329499669104824e-05
AZRG.TAE,nan,AZRIELI GROUP LTD,Growth,International Shares,Global Shares,Global Shares,Real Estate - 60,Tel Aviv Stock Exchange,ILS,Israel,,Real Estate Management & Development - 6020,Real Estate Management & Development - 602010,Real Estate Operating Companies - 60201020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,25880,25880.0,0.0,TAE,285901.0,0.0,,4.945005,1233517692.0,2.345192,20819470874.0,11548179631.0,-59.8585,12.2652,59.1128,6.6116,0.474254,0.401057,48.6166,1.972281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.33563970107209,0.019107438176197835,0.0002791412686937204
6702.TKS,nan,FUJITSU LTD,Growth,International Shares,Global Shares,Global Shares,Information Technology - 45,Tokyo Stock Exchange,JPY,Japan,,Software & Services - 4510,IT Services - 451020,IT Consulting & Other Services - 45102010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,23690,23690.0,4430000000000.0,TKS,461900.0,0.0,,7.090673,38711479878.0,2.60175,33616181457.0,15282138336.0,-24.9127,1.0792,-27.3168,8.071,0.366472,0.072575,3.4549,32.019862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.41008674352914,0.029931080624736175,0.00012921317924067296
8053.TKS,nan,SUMITOMO CORP,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,Tokyo Stock Exchange,JPY,Japan,,Capital Goods - 2010,Trading Companies & Distributors - 201070,Trading Companies & Distributors - 20107010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,3553,3553.0,4340000000000.0,TKS,3075800.0,0.0,,4.277332,70893191676.0,1.24884,112000000000.0,65036298588.0,-14.8462,2.902,10.6505,12.9961,0.291787,0.350977,7.4119,4.43949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.306579896066053,0.12038649028989587,7.565417318431698e-06
5108.TKS,nan,BRIDGESTONE CORP,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary - 25,Tokyo Stock Exchange,JPY,Japan,,Automobiles & Components - 2510,Automobile Components - 251010,Tires & Rubber - 25101020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,6452,6452.0,4420000000000.0,TKS,1914300.0,0.0,,5.036866,44893716600.0,0.0,56487249891.0,21047304126.0,10.3,4.9568,15.9122,10.3766,0.39252,0.152945,7.6801,6.149312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.80955260672013,0.07806673899566026,1.8205445467616675e-05
8002.TKS,nan,MARUBENI CORP,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,Tokyo Stock Exchange,JPY,Japan,,Capital Goods - 2010,Trading Companies & Distributors - 201070,Trading Companies & Distributors - 20107010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,2505,2505.0,4210000000000.0,TKS,4469100.0,0.0,,2.764505,75399141687.0,0.853374,88330630119.0,54344594289.0,-19.5103,-25.4596,3.0038,15.0881,0.312792,0.285788,6.2251,4.279097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.061296687833806,0.11035948103792416,7.370674274958532e-06
6301.TKS,nan,KOMATSU LTD,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,Tokyo Stock Exchange,JPY,Japan,,Capital Goods - 2010,Machinery - 201060,Construction Machinery & Heavy Transportation Equipment - 20106010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,4395,4395.0,4160000000000.0,TKS,2311200.0,0.0,,4.388001,39538617831.0,1.529829,55879553940.0,24765246504.0,32.3286,14.1981,37.1179,15.2742,0.348811,0.237721,10.4956,11.010173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.015950315416974,0.09984075085324232,1.4125334491343618e-05
4503.TKS,nan,ASTELLAS PHARMA INC,Growth,International Shares,Global Shares,Global Shares,Health Care - 35,Tokyo Stock Exchange,JPY,Japan,,"Pharmaceuticals, Biotech & Life Sciences - 3520",Pharmaceuticals - 352020,Pharmaceuticals - 35202010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,1674.5,1674.5,3000000000000.0,TKS,7094100.0,0.0,,0.024306,16061372868.0,0.676455,35057873574.0,19413498789.0,-96.9229,5.1142,-47.8616,0.2731,27.787756,0.25919,0.272,26.980133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,0.001451537772469394,1.0703527772842216e-05
6857.TKS,nan,ADVANTEST CORP,Growth,International Shares,Global Shares,Global Shares,Information Technology - 45,Tokyo Stock Exchange,JPY,Japan,,Semiconductors & Semiconductor Equipment - 4530,Semiconductors & Semiconductor Equipment - 453010,Semiconductor Materials & Equipment - 45301010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,7119,7119.0,5260000000000.0,TKS,16193500.0,0.0,,1.097526,5184101352.0,0.351236,6608705175.0,2423207508.0,-38.4085,-5.9469,-31.2256,21.2183,0.320632,0.141709,15.6055,27.06224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.86406700160178,0.015416856300042142,0.00017008730063640482
4901.TKS,nan,FUJIFILM HOLDINGS CORP,Growth,International Shares,Global Shares,Global Shares,Information Technology - 45,Tokyo Stock Exchange,JPY,Japan,,Technology Hardware & Equipment - 4520,"Tech Hardware, Storage & Peripherals - 452020","Tech Hardware, Storage & Peripherals - 45202030",,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,9765,9765.0,3920000000000.0,TKS,1412500.0,0.0,,6.211398,30390438144.0,1.45698,47341900908.0,16383490332.0,15.2245,5.8373,39.1205,8.4748,0.234582,0.155282,8.1997,32.350681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.721098535305579,0.06360878648233487,3.154231699339938e-05
4519.TKS,nan,CHUGAI PHARMACEUTICAL LTD,Growth,International Shares,Global Shares,Global Shares,Health Care - 35,Tokyo Stock Exchange,JPY,Japan,,"Pharmaceuticals, Biotech & Life Sciences - 3520",Pharmaceuticals - 352020,Pharmaceuticals - 35202010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,6109,6109.0,10100000000000.0,TKS,1790300.0,0.0,,2.058819,11565996369.0,0.83256,20112016629.0,3194605569.0,-13.0751,-6.2308,-10.5701,21.3426,0.404317,0.0,29.2857,16265.7037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6723509934579,0.03370140775904403,3.611072627090259e-05
8591.TKS,nan,ORIX CORP,Growth,International Shares,Global Shares,Global Shares,Financials - 40,Tokyo Stock Exchange,JPY,Japan,,Financial Services - 4020,Financial Services - 402010,Diversified Financial Services - 40201020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,3167,3167.0,3660000000000.0,TKS,3538400.0,0.0,,2.506315,28196611323.0,0.890839,164000000000.0,124000000000.0,-10.3461,1.1984,35.1199,7.8174,0.356327,0.379495,10.3477,3.082072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.636081258740424,0.0791384591095674,7.9175e-06
6752.TKS,nan,PANASONIC HOLDINGS CORP,Growth,International Shares,Global Shares,Global Shares,Consumer Discretionary - 25,Tokyo Stock Exchange,JPY,Japan,,Consumer Durables & Apparel - 2520,Household Durables - 252010,Consumer Electronics - 25201010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,1466.5,1466.5,3420000000000.0,TKS,14337200.0,0.0,,2.237312,87988343889.0,0.338228,92732988852.0,47375640402.0,125.4616,3.2328,107.0321,13.071,0.151176,0.179094,5.9352,14.458774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.554740688826591,0.15256133651551315,3.233213691088241e-06
8801.TKS,nan,MITSUI FUDOSAN LTD,Growth,International Shares,Global Shares,Global Shares,Real Estate - 60,Tokyo Stock Exchange,JPY,Japan,,Real Estate Management & Development - 6020,Real Estate Management & Development - 602010,Diversified Real Estate Activities - 60201010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,4144,4144.0,3870000000000.0,TKS,2605600.0,0.0,,2.405084,24370332075.0,0.697269,101000000000.0,67319677644.0,7.79,3.5997,13.3964,7.1376,0.0,0.490498,9.2361,4.582762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.230167428663613,0.058037741312741316,1.2303920242205655e-05
6178.TKS,nan,JAPAN POST HOLDINGS LTD,Growth,International Shares,Global Shares,Global Shares,Financials - 40,Tokyo Stock Exchange,JPY,Japan,,Insurance - 4030,Insurance - 403010,Life & Health Insurance - 40301020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,1487,1487.0,4800000000000.0,TKS,11313500.0,0.0,,0.844357,116000000000.0,0.780525,3060000000000.0,2900000000000.0,-41.673,-0.0845,-0.1591,3.0039,0.0,0.086826,2.4934,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.611034195251534,0.05678258238063215,9.29375e-07
8750.TKS,nan,DAI-ICHI LIFE HOLDINGS INC,Growth,International Shares,Global Shares,Global Shares,Financials - 40,Tokyo Stock Exchange,JPY,Japan,,Insurance - 4030,Insurance - 403010,Life & Health Insurance - 40301020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,3506,3506.0,3340000000000.0,TKS,3274400.0,0.0,,2.810885,95092339008.0,0.895002,685000000000.0,654000000000.0,1.8673,8.3795,-72.4746,9.6421,0.0,0.014985,2.9087,9.383339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.47294001711205,0.08017355961209355,1.1309677419354838e-05
6723.TKS,nan,RENESAS ELECTRONICS CORP,Growth,International Shares,Global Shares,Global Shares,Information Technology - 45,Tokyo Stock Exchange,JPY,Japan,,Semiconductors & Semiconductor Equipment - 4530,Semiconductors & Semiconductor Equipment - 453010,Semiconductors - 45301020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,2589,2589.0,4600000000000.0,TKS,32765400.0,0.0,,1.974926,15292201905.0,0.291396,32959000221.0,12086845905.0,31.3499,-2.0946,-3.3151,19.0406,0.0,0.209131,22.9401,55.164387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.109351945338712,0.07628142139822325,1.2404086136979865e-05
4543.TKS,nan,TERUMO CORP,Growth,International Shares,Global Shares,Global Shares,Health Care - 35,Tokyo Stock Exchange,JPY,Japan,,Health Care Equipment & Services - 3510,Health Care Equipment & Supplies - 351010,Health Care Equipment - 35101010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,5924,5924.0,4400000000000.0,TKS,1577800.0,0.0,,1.38452,9211932969.0,0.447501,17605178469.0,4950151992.0,13.454,10.949,11.489,8.651,0.323165,0.133726,11.189,125.282319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.78739202033918,0.02337137069547603,4.681143900225441e-05
5401.TKS,nan,NIPPON STEEL CORP,Growth,International Shares,Global Shares,Global Shares,Materials - 15,Tokyo Stock Exchange,JPY,Japan,,Materials - 1510,Metals & Mining - 151040,Steel - 15104050,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,3784,3784.0,3480000000000.0,TKS,9521500.0,0.0,,6.982065,90080078040.0,1.717155,111000000000.0,56629097301.0,-4.4519,10.5725,1.8228,13.4744,0.0,0.281225,7.1373,23.918386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.419600075335879,0.1845154598308668,6.959604884525112e-06
2502.TKS,nan,ASAHI GROUP HOLDINGS LTD,Growth,International Shares,Global Shares,Global Shares,Consumer Staples - 30,Tokyo Stock Exchange,JPY,Japan,,Food Beverage & Tobacco - 3020,Beverages - 302010,Brewers - 30201010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,5160,5160.0,2610000000000.0,TKS,2420500.0,0.0,,3.369987,28817930037.0,0.0,55010496591.0,29349113724.0,8.2597,10.2736,1.5574,7.3323,0.352044,0.266897,5.9251,13.52028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.311631765938563,0.06530982558139535,2.0108035590847494e-05
6146.TKS,nan,DISCO CORP,Growth,International Shares,Global Shares,Global Shares,Information Technology - 45,Tokyo Stock Exchange,JPY,Japan,,Semiconductors & Semiconductor Equipment - 4530,Semiconductors & Semiconductor Equipment - 453010,Semiconductor Materials & Equipment - 45301010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,50090,50090.0,5430000000000.0,TKS,2132700.0,0.0,,7.152968,2937583890.0,3.968536,5162787816.0,1315798638.0,-4.4458,1.3056,4.5501,21.4981,0.0,0.0,26.3761,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0268755571114,0.014280231583150331,0.0013020572110379878
7011.TKS,nan,MITSUBISHI HEAVY INDUSTRIES LTD,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,Tokyo Stock Exchange,JPY,Japan,,Capital Goods - 2010,Machinery - 201060,Industrial Machinery & Supplies & Components - 20106020,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,11940,11940.0,4010000000000.0,TKS,2724300.0,0.0,,6.258657,47096025126.0,2.18547,62631324144.0,41522525055.0,55.475,8.9686,82.5324,11.9875,0.248104,0.273063,4.465,25.672176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.07757526894348,0.052417562814070354,5.6564089456998276e-05
7733.TKS,nan,OLYMPUS CORP,Growth,International Shares,Global Shares,Global Shares,Health Care - 35,Tokyo Stock Exchange,JPY,Japan,,Health Care Equipment & Services - 3510,Health Care Equipment & Supplies - 351010,Health Care Equipment - 35101010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,2127,2127.0,2500000000000.0,TKS,4082100.0,0.0,,2.280375,9533769444.0,0.166512,15278287746.0,7474265772.0,98.4173,-1.88,-58.749,5.8813,0.074167,0.207535,29.5196,9.162947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.327413254398948,0.10721086036671368,2.7255176972673138e-05
4452.TKS,nan,KAO CORP,Growth,International Shares,Global Shares,Global Shares,Consumer Staples - 30,Tokyo Stock Exchange,JPY,Japan,,Household & Personal Products - 3030,Personal Care Products - 303020,Personal Care Products - 30302010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,5706,5706.0,2650000000000.0,TKS,1136300.0,0.0,,0.982148,15949549653.0,1.56105,18417746622.0,7885415121.0,-49.0109,-1.1914,-36.1425,4.5986,1.580556,0.147519,2.8624,17.416594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.097150327649196,0.01721254819488258,5.417603879500222e-05
6971.TKS,nan,KYOCERA CORP,Growth,International Shares,Global Shares,Global Shares,Information Technology - 45,Tokyo Stock Exchange,JPY,Japan,,Technology Hardware & Equipment - 4520,Electronic Equipment & Instruments - 452030,Electronic Components - 45203015,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,2238,2238.0,3150000000000.0,TKS,3705200.0,0.0,,0.730322,20725613349.0,0.52035,45029132484.0,12032042643.0,-32.4319,-0.9087,-16.4877,3.3377,0.743359,0.068945,4.9997,28.390542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.64401729648018,0.03263279714030384,6.782416300298123e-06
1925.TKS,nan,DAIWA HOUSE INDUSTRY LTD,Growth,International Shares,Global Shares,Global Shares,Real Estate - 60,Tokyo Stock Exchange,JPY,Japan,,Real Estate Management & Development - 6020,Real Estate Management & Development - 602010,Diversified Real Estate Activities - 60201010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,4382,4382.0,2800000000000.0,TKS,1463000.0,0.0,,5.669803,54563713674.0,1.384131,68074934448.0,41492042952.0,59.9796,11.2207,34.6999,14.9943,0.0,0.342372,6.8361,18.711885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.728663588487995,0.12938847558192607,1.6484286521875812e-05
9022.TKS,nan,CENTRAL JAPAN RAILWAY,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,Tokyo Stock Exchange,JPY,Japan,,Transportation - 2030,Ground Transportation - 203040,Rail Transportation - 20304010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,3767,3767.0,3710000000000.0,TKS,2161400.0,0.0,,3.781301,17214749457.0,0.291396,101000000000.0,58393198278.0,153.4609,30.4637,99.1809,9.1812,0.0,0.448922,21.6139,7.224272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.962179683659143,0.10037963897000265,8.841311358169631e-06
2802.TKS,nan,AJINOMOTO INC,Growth,International Shares,Global Shares,Global Shares,Consumer Staples - 30,Tokyo Stock Exchange,JPY,Japan,,Food Beverage & Tobacco - 3020,Food Products - 302020,Packaged Foods & Meats - 30202030,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,5555,5555.0,2880000000000.0,TKS,2059100.0,0.0,,1.891197,14570205873.0,1.092735,18581969082.0,9559557990.0,34.8926,5.914,110.4438,12.4409,0.403065,0.291909,6.803,66.799898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.372931534895624,0.034044950495049506,6.156890817051678e-05
8725.TKS,nan,MS&AD INSURANCE GROUP HOLDINGS INC,Growth,International Shares,Global Shares,Global Shares,Financials - 40,Tokyo Stock Exchange,JPY,Japan,,Insurance - 4030,Insurance - 403010,Property & Casualty Insurance - 40301040,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,7507,7507.0,3970000000000.0,TKS,5390400.0,0.0,,6.942711,66997508145.0,2.28954,269000000000.0,228000000000.0,143.0514,30.2764,80.2278,10.551,0.0,0.027677,5.517,61.302321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81277904265351,0.09248316238177702,1.8309756097560975e-05
6594.TKS,nan,NIDEC CORP,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,Tokyo Stock Exchange,JPY,Japan,,Capital Goods - 2010,Electrical Equipment - 201040,Electrical Components & Equipment - 20104010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,5716,5716.0,3280000000000.0,TKS,2390700.0,0.0,,1.57277,23912840355.0,0.72849,32342541576.0,15879177519.0,-38.6917,3.9378,-17.8169,5.9281,0.0,0.223507,3.779,7.294395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.34352130317847,0.02751522043386984,3.471951406899512e-05
9020.TKS,nan,EAST JAPAN RAILWAY,Growth,International Shares,Global Shares,Global Shares,Industrials - 20,Tokyo Stock Exchange,JPY,Japan,,Transportation - 2030,Ground Transportation - 203040,Rail Transportation - 20304010,,,,,,World Large Blend Equity,International Equities - Unhedged,IEQStock,,,,,,,,,8914,8914.0,3360000000000.0,TKS,1603500.0,0.0,,5.854275,27885306732.0,1.092735,99956810169.0,72143884122.0,245.0747,20.5202,195.6042,8.2974,0.0,0.478153,7.9071,4.800402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.226479794679955,0.06567506170069554,3.204984612167943e-05
